step,K,V_WCA,V_tether,H
0,0.0000256261,0.0000000000,0.0000000000,0.0000256261
1,0.0000256242,0.0000000000,0.0000000019,0.0000256261
2,0.0000256185,0.0000000000,0.0000000076,0.0000256261
3,0.0000256090,0.0000000000,0.0000000170,0.0000256261
4,0.0000255958,0.0000000000,0.0000000303,0.0000256261
5,0.0000255788,0.0000000000,0.0000000473,0.0000256261
6,0.0000255580,0.0000000000,0.0000000681,0.0000256261
7,0.0000255335,0.0000000000,0.0000000926,0.0000256261
8,0.0000255051,0.0000000000,0.0000001209,0.0000256261
9,0.0000254731,0.0000000000,0.0000001530,0.0000256261
10,0.0000254373,0.0000000000,0.0000001888,0.0000256261
11,0.0000253978,0.0000000000,0.0000002283,0.0000256261
12,0.0000253545,0.0000000000,0.0000002715,0.0000256261
13,0.0000253076,0.0000000000,0.0000003185,0.0000256261
14,0.0000252570,0.0000000000,0.0000003691,0.0000256261
15,0.0000252027,0.0000000000,0.0000004234,0.0000256261
16,0.0000251447,0.0000000000,0.0000004814,0.0000256261
17,0.0000250831,0.0000000000,0.0000005430,0.0000256261
18,0.0000250179,0.0000000000,0.0000006082,0.0000256261
19,0.0000249491,0.0000000000,0.0000006770,0.0000256261
20,0.0000248767,0.0000000000,0.0000007494,0.0000256261
21,0.0000248007,0.0000000000,0.0000008253,0.0000256261
22,0.0000247213,0.0000000000,0.0000009048,0.0000256261
23,0.0000246383,0.0000000000,0.0000009878,0.0000256261
24,0.0000245518,0.0000000000,0.0000010743,0.0000256261
25,0.0000244618,0.0000000000,0.0000011642,0.0000256261
26,0.0000243685,0.0000000000,0.0000012576,0.0000256261
27,0.0000242717,0.0000000000,0.0000013544,0.0000256261
28,0.0000241716,0.0000000000,0.0000014545,0.0000256261
29,0.0000240681,0.0000000000,0.0000015580,0.0000256261
30,0.0000239613,0.0000000000,0.0000016648,0.0000256261
31,0.0000238512,0.0000000000,0.0000017749,0.0000256261
32,0.0000237379,0.0000000000,0.0000018882,0.0000256261
33,0.0000236214,0.0000000000,0.0000020048,0.0000256261
34,0.0000235016,0.0000000000,0.0000021245,0.0000256261
35,0.0000233788,0.0000000000,0.0000022473,0.0000256261
36,0.0000232528,0.0000000000,0.0000023733,0.0000256261
37,0.0000231238,0.0000000000,0.0000025023,0.0000256261
38,0.0000229918,0.0000000000,0.0000026343,0.0000256261
